17-го Партз’їзду вулиця|||пос. Октябрьский |17-го Партсъезда улица|
Дагестанська вулиця|||пос. Малотарановка |Дагестанская улица|
Дарвіна вулиця|||пос. Октябрьский |Дарвина улица|
Даргомизкого вулиця|||пос. Ясная Поляна |Даргомыжcкого улица|
Декабристів вулиця|||пос. Октябрьский |Декабристов улица|
Дем’яна Бєдного вулиця|||пос. Октябрьский |Демьяна Бедного улица|
|Джерельна вулиця|196734817|||Родниковая улица
Дзержинського вулиця|||пос. Октябрьский |Дзержинского улица|
Дибленка вулиця|||пос. Шабельковка |Дыбленко улица|
|Дмитра Мазура вулиця|154830709,336920941,361948685,361948689|||Дмитра Мазура вулиця
|Дніпровська вулиця|120702273,120702275,196668681,196719956|||Днепровская улица
Дніпропетровська вулиця|||пос. Беленькое;Станкострой2-14; 1-15 |Днепропетровская улица|
Добровольського вулиця|||пос. Марьевка |Добровольского улица|
Довженка провулок|||пос. Малотарановка |Довженко переулок|
Докучаєва вулиця|||пос. Шабельковка |Докучаева улица|
Долинська вулиця|||пос. В.Пустошь |Долинская улица|
|Дружби вулиця|335788793|||Дружбы улица
Дубового провулок|||пос. Артемовский |Дубового переулок|
Дубравінський провулок|||пос. Октябрьский |Дубравинский переулок|
Дюружани вулиця|||пос. Семеновка |Дюружаны улица|
|Елеваторна вулиця|335737627,516009719|||Элеваторная улица
Емалевий провулок|||пос. Октябрьский |Эмалевый переулок|
|ЕМСС|400301552|||ЭМСС
Епрону вулиця|||пос. Красногорка |Эпрона улица|
Естонська вулиця|||пос. Беленькое |Эстонская улица|
Єлісєєва вулиця|||пос. Марьевка |Елисеева улица|
|Єнакіївська вулиця|300902067|||Енакиевская улица
|Єстонська вулиця|196755131|||Эстонская улица
Жовтнева вулиця|||пос. Малотарановка |Октябрьская улица|
Жовтневий проспект|||пос. Октябрьский |Октябрьский проспект|
Загірна вулиця|||пос. Семеновка |Загорная улица|
Закарпатська вулиця|||пос.Ивановка |Закарпатская улица|
Закарпатський провулок|||пос. Ивановка |Закарпатский переулок|
Заслонова вулиця|||пос. Марьевка |Заслонова улица|
Затока провулок|||пос. Октябрьский |Затока переулок|
Західний провулок|||пос. Старопочтовый |Западный переулок|
Земляний провулок|||пос. Петровка |Земляной переулок|
Індустріальна вулиця|||пос. Новый Свет |Индустриальная улица|
Ірмінівський провулок|||пос. Старая Петровка |Ирминовский переулок|
|Історична вулиця|555483054|||Историческая улица
Калініна вулиця|||пос. Октябрьский |Калинина улица|
Каменський провулок|||пос. Красногорка |Каменский переулок|
Карла Лібкнехта вулиця|||пос. Октябрьский |Карла Либкнехта улица|
|Карла Лібкхнета вулиця|300902065|||Карла Либкхнета улица
Карла Маркса вулиця|||пос. Октябрьский |Карла Маркса улица|
Карпинського вулиця|||Соцгород |Карпинского улица|
|Катерини Білокур вулиця|190054211|||Екатерины Билокур улица
Каховка вулиця|||пос. старая Петровка |Каховка улица|
Каширіна вулиця|||пос.Октябрьский |Каширина улица|
Каштанова вулиця|||пос. Беленькое |Каштановая улица|
Каштанова вулиця|||пос. Шабельковка |Каштановая улица|
Квітуча вулиця|||пос. Октябрьский |Цветущая улица|
Кедрова вулиця|||пос. Шабельковка |Кедрова улица|
|Кедрова вулиця|312643194|||Кедровая улица
Кемеровська вулиця|||пос. Городещино |Кемеровская улица|
Киргизька вулиця|||пос. Малотарановка |Киргизская улица|
Кіма вулиця|||пос. Новый Свет |Кима улица|
|Кіровоградський провулок|336920905|||Кировоградский переулок
Клари Цеткін вулиця|||пос. Ивановка |Клары Цеткин улица|
Клушина вулиця|||пос.Шабельковка |Клушина улица|
Кобзаря вулиця|||пос. Беленькое |Кобзаря улица|
Ковпака вулиця|||пос. Шабельковка |Ковпака улица|
Козацька вулиця|||пос.Октябрьский |Казацкая улица|
|Колгоспний провулок|196656077|||Колхозный переулок
Кольцова вулиця|||пос. Малотарановка |Кольцова улица|
Командарма Федька вулиця|||пос. Малотарановка |Командарма Федько улица|
Комарова вулиця|||пос. Октябрьский |Комарова улица|
Комбайнерів вулиця|||пос. Малотарановка |Комбайнеров улица|
|Комерційна вулиця|154830700,154830712,335610084,335610091,335737608|||Коммерческая улица
Комсомольська вулиця|||пос. Октябрьский |Комсомольская улица|
Комсомольська площа|||Соцгород |Комсомольская площадь|
Конєва вулиця|||пос.Камышеваха |Конева улица|
|Конрада Гампера вулиця (Горького)|228984000,335737605,335737606|||Конрада Гампера улица (Горького)
Корольова вулиця|||пос. Марьевка |Королева улица|
Космічний провулок|||пос. Красноторка |Космический переулок|
Космонавтів вулиця|||пос. Ясногорка |Космонавтов улица|
Коцюбинського вулиця|||пос. Софиевка |Коцюбинского улица|
Краснодонська вулиця|||пос. Шабельковка |Краснодонская улица|
Красноторська вулиця|||пос. Красноторка |Красноторская улица|
Кременчуцька вулиця|||пос. Красногорка |Кременчугская улица|
Кремінна вулиця|||пос. Новый Свет |Кремневая улица|
|Кремінна вулиця|168969864,230101019|||Кремнева улица
Кржижанівського вулиця|||пос. Красноторка |Кржижановского улица|
|Кржижановського вулиця|654310833|||Кржижановского улица
Кронштадська вулиця|||пос. Красногорка |Кронштадская улица|
|Кронштадтська вулиця|168972080|||Кронштадтская улица
|Кропивницкого улица|154858000|||Кропивницкого улица
Кропивницького вулиця|||пос. Ясная Поляна |Кропивницкого улица|
Крутий провулок|||пос. Октябрьский |Крутой переулок|
Кубанська вулиця|||пос. Красногорка |Кубанская улица|
Куйбишева вулиця|||пос. Красногорка |Куйбышева улица|
|Кулибіна вулиця|196671445,555639297|||Кулибина улица
Кулибіна провулок|||пос. Беленькое |Кулибина переулок|
Курганна вулиця|||пос. Шабельковка |Курганная улица|
Курганський провулок|||пос. Беленькое |Курганский переулок|
|Курганський провулок|239162603|||улица Саркисова
Лагоди вулиця|||Соцгород |Лагоды улица|
Лазовський провулок|||пос. Беленькое |Лазовский переулок|
Лазо вулиця|||Соцгород |Лазо улица|
Леніна вулиця|||Соцгород |Ленина улица|
Леніна площа|||Соцгород |Ленина площадь|
Лиманський провулок|||пос. Красногорка |Лиманский переулок|
Липецька вулиця|||пос. Малотарановка |Липецкая улица|
Лисичанська вулиця|||пос. СтараяПетровка |Лисичанская улица|
|Литвинівська вулиця|336920918|||Литвиновская улица
Литвинова вулиця|||пос. Новый Свет |Литвинова улица|
Литовська вулиця|||пос. Ясногорка |Литовская улица|
|Лівобережна вулиця|206168974,206168975,257355021,362285605,362285612|||Лівобережна вулиця
|Лікарняна вулиця|168969863,190062403,396654346|||Врачебная улица
Лікарняний провулок|||пос. Октябрьский |Больничный переулок|
Лікарська вулиця|||пос. Новый Свет |Врачебная улица|
Лісова вулиця|||пос.Шабельковка |Лесная улица|
Лобачевського вулиця|||пос. Новый Свет |Лобачевского улица|
|Лозівська вулиця|196703650|||Лозовская улица
Луговий провулок|||пос. Октябрьский |Луговой переулок|
|Лумумби вулиця|196664002|||Лумумбы улица
Луначарського вулиця|||пос. Октябрьский |Луначарского улица|
Луначарського провулок|||пос. Малотарановка |Луначарского переулок|
Луцька вулиця|||пос. В.Пустошь |Луцкая улица|
|Магистральная улица|120704023,257355026,362285606,362285607,362285608,362285609,362285610,362285611,362285613|||Магистральная улица
|Майстрова вулиця|196714984|||Мастеровая улица
|Макіївська вулиця|190058789,293530641|||Макеевская улица
Макіївський провулок|||пос. Октябрьский |Макеевский переулок|
Мала Садова вулиця|||пос. Октябрьский |Малая Садовая улица|
Малиновського вулиця|||пос. Малотарановка |Малиновского улица|
Маневича вулиця|||пос. Красноторка |Маневича улица|
|Маневича провулок|654309072|||Маневича переулок
Манлива вулиця|||пос.Ивановка |Манящая улица|
|Марії Приймаченко вулиця|79085390|||Марии Приймаченко улица
Марка Бернеса вулиця|||ЦУ с-за Ясногоровский |Марка Бернеса улица|
Маршака вулиця|||пос. Малотарановка |Маршака улица|
Маршала Рокосовського вулиця|||пос. Ясногорка |Маршала Рокоссовского улица|
Машинобудівний провулок|||пос. Красногорка |Машиностроительный переулок|
Маячківського вулиця|||пос. Ясная Поляна |Маячковского улица|
Мельнична вулиця|||пос. Малотарановка |Мельничная улица|
Мереф’янський провулок|||пос. Красноторка |Мерефянский переулок|
Металістів вулиця|||пос. Октябрьский |Металлистов улица|
Металістів провулок|||пос. Шабельковка |Металлистов переулок|
Механізаторська вулиця|||с-з Веселый |Механизаторская улица|
Механічна вулиця|||пос. Новый Свет |Механическая улица|
|Миколи Білоброва вулиця|120656345|||Миколи Білоброва вулиця
|Миру площа|106873201,371304903,592717820|||Мира площадь
|Михайла Вербицького вулиця|190063368|||Михаила Вербицкого улица
|Михайла Горяйнова вулиця|190055900,190058795,190064403|||Михаила Горяйнова улица
Місцепрому вулиця|||пос. Октябрьский |Местпрома улица|
Місячна вулиця|||пос. Малотарановка |Лунная улица|
Міцкевича вулиця|||с. Приволье |Мицкевича улица|
Молдавська вулиця|||пос. Октябрьский |Молдавская улица|
|Молодіжний провулок|336920920|||Молодежный переулок
Молодогвардійський провулок|||пос. Ивановка |Молодогвардейский переулок|
Московська вулиця|||пос. Старая Петровка |Московская улица|
|Мотодром|591750204,591750205|||Мотодром
Муравйова провулок|||пос. Октябрьский |Муравьева переулок|
Мусоргського вулиця|||пос. Ивановка |Мусоргского улица|
|Назаренка вулиця|335610088|||Назаренко улица
Народна вулиця|||пос. Октябрьский |Народная улица|
|Нахічеванська вулиця|196705663|||Нахичеванская улица
Нахічеванський провулок|||пос. Беленькое |Нахичеванский переулок|
Нижня вулиця|||пос. Ивановка |Нижняя улица|
Ніжинська вулиця|||пос. Ивановка |Нежинская улица|
Нікопольська вулиця|||пос. Малотарановка |Никопольская улица|
Нова вулиця|||пос. Ивановка |Новая улица|
Нова Зоря вулиця|||пос. Красногорка |Новая Заря улица|
Новикова-Прибоя вулиця|||пос. СтараяПетровка |Новикова-Прибоя улица|
Новоросійська вулиця|||пос. Красногорка |Новоросийская улица|
|Новоросійська вулиця|169024788|||Новороссийская улица
Оборонна вулиця|||пос. Ивановка |Оборонная улица|
Одеська вулиця|||пос. Ивановка |Одесская улица|
Озерна вулиця|||пос. Марьевка |Озерная улица|
Оксани Петрусенко вулиця|||ЦУ с-за Ясногоровский |Оксаны Петрусенко улица|
|Олександра Блока вулиця|200619926|||Александра Блока улица
|Олекси Тихого вулиця|121174938,257355017,296985406,335603179,335603187,335603192,351940239|||Олексы Тихого улица
Омський провулок|||пос. Ивановка |Омский переулок|
|Онежский переулок|596950173|||Онежский переулок
Орджонікідзе вулиця|||пос. Новый Свет |Орджоникидзе улица|
Орловська вулиця|||пос. Октябрьский |Орловская улица|
|Орловського вулиця|504856492|||Орловского улица
|Охтирська вулиця|190055909|||Охтырская улица
|Пантелеймона Куліша вулиця|239169107|||Пантелеймона Куліша вулиця
Папаніна вулиця|||с. Приволье |Папанина улица|
Парникова вулиця|||ЦУ с-за Ясногоровский |Парниковая улица|
|Паторжинського вулиця|264623773|||Паторжинского улица
Педагогічна вулиця|||пос. Октябрьский |Педагогическая улица|
Пензенська вулиця|||пос. Беленькое |Пензенская улица|
Перекопська вулиця|||пос. Ивановка |Перекопская улица|
Перепелиці вулиця|||пос. Малотарановка |Перепелицы улица|
Перспективна вулиця|||пос. Шабельковка |Перспективная улица|
Першотравнева вулиця|||пос. Малотарановка |Первомайская улица|
Пестеля провулок|||пос. Ясная Поляна |Пестеля переулок|
Печерський провулок|||Старый Город |Печерский переулок|
|Печёрский переулок|196721692|||Печерский переулок
|Піонерський провулок|336920924|||Пионерский переулок
Подлєсного вулиця|||пос. Шабельковка |Подлесного улица|
Поліський провулок|||пос. Красногорка |Полесский переулок|
Полоцький провулок|||пос. Софиевка |Полоцкий переулок|
Польова вулиця|||пос. Шабельковка |Полевая улица|
Поповича вулиця|||пос. Малотарановка |Поповича улица|
Потьомкіна вулиця|||пос. Новый Свет |Потемкина улица|
Престижна вулиця|||пос.Малотарановка |Престижная улица|
|Пржевальського вулиця|504849596|||Пржевальского улица
Пржевальського проспект|||пос. Октябрьский |Пржевальского проспект|
Приморська вулиця|||пос.Шабельковка |Приморская улица|
|проїзд|444126135|||проезд
Промислова вулиця|||пос. Ясная Поляна |Промышленная улица|
Прохідний провулок|||пос. Октябрьский |Проходной переулок|
Прудний провулок|||пос. Городещино |Прудный переулок|
П’ятигорська вулиця|||пос. Красногорка |Пятигорская улица|
|П’ятого Липня вулиця|264623772|||Пятого Июля улица
Радянська вулиця|||пос. Старопочтовый |Советская улица|
Радянської Міліції вулиця|||пос. Малотарановка |Советской Милиции улица|
Райдужна вулиця|||пос. Октябрьский |Радужная улица|
Райкіна вулиця|||пос. Беленькое |Райкина улица|
|Ринкова вулиця|154830715,190064405,335610097|||Рыночная улица
Річний провулок|||пос. СтараяПетровка |Речной переулок|
Робоча вулиця|||пос. Малотарановка |Рабочая улица|
Робочий провулок|||пос. Ивановка |Рабочий переулок|
Робочий провулок|||пос. Шабельковка |Рабочий переулок|
Родникова вулиця|||пос. Беленькое |Родниковая улица|
Роздільний провулок|||пос. Ивановка |Раздельный переулок|
|Роздільний провулок|190054780|||Раздельный проулок
Ростовська вулиця|||пос. СтараяПетровка |Ростовская улица|
Рюміна вулиця|||пос. Ясная Поляна |Рюмина улица|
Рязанський провулок|||пос. Ясногорка |Рязанский переулок|
|Савелія Свідерського вулиця|335610090|||Савелия Свидерского улица
|Самари вулиця|190062473|||Самары улица
|Самаркандська вулиця|275037312|||Самаркандская улица
Самар-Кандська вулиця|||пос. Камышеваха |Самар-Кандская улица|
Самарська вулиця|||пос. Ивановка |Самарская улица|
Саранський провулок|||пос. Красноторка |Саранский переулок|
Саркісова вулиця|||пос. Беленькое |Саркисова улица|
Саянська вулиця|||пос. Беленькое |Саянская улица|
Свердлова вулиця|||пос. Октябрьский |Свердлова улица|
Світла вулиця|||пос.Ивановка |Светлая улица|
Світлий провулок|||пос. Малотарановка |Светлый переулок|
Свободи вулиця|||пос. Октябрьский |Свободы улица|
Селянська вулиця|||пос. Шабельковка |Крестьянская улица|
Семипалатинська вулиця|||пос. Малотарановка |Семипалатинская улица|
|Сервантеса вулиця|120656333|||Сервантеса вулиця
|Сергія Параджанова вулиця|654309073|||Сергея Параджанова улица
Серпухівська вулиця|||пос. Октябрьский |Серпуховская улица|
Сєрова вулиця|||пос. Малотарановка |Серова улица|
Сєченова вулиця|||С. Приволье |Сеченова улица|
|Сіверська вулиця|120208834,161420731,161420732,335737612,516009720,571804893|||Северская улица
Сільськогосподарська вулиця|||пос. Прокатчиков |Сельскохозяйственная улица|
Сімферопольська вулиця|||пос. Октябрьский |Симферопольская улица|
Сінна вулиця|||пос. Октябрьский |Сенная улица|
|С. Ковалевської вулиця|168972077|||С. Ковалевской улица
|Слобожанская улица|679352128|||Слобожанская
Слов’янський провулок|||пос. СтараяПетровка |Славянский переулок|
Смирнова вулиця|||пос.Красноторка |Смирнова улица|
|Смірнова вулиця|654314351|||Смирнова улица
Солікамська вулиця|||пос. Прокатчиков |Соликамская улица|
Солов’їна вулиця|||пос.Шабельковка |Соловьиная улица|
Сормовський провулок|||пос. Октябрьский |Сормовский переулок|
Софії Ковалевської вулиця|||пос. Красногорка |Софьи Ковалевской улица|
Сохрякова вулиця|||пос. Ивановка |Сохрякова улица|
Соціалістична вулиця|||Соцгород |Социалистическая улица|
Соціалістичний провулок|||пос. Беленькое |Социалистический переулок|
Союзна вулиця|||пос. Октябрьский |Союзная улица|
Спартаківська вулиця|||пос. Октябрьский |Спартаковская улица|
Ставропольська вулиця|||пос. Софиевка |Ставропольская улица|
Станіславського вулиця|||пос. Малотарановка |Станиславского улица|
Старобельська вулиця|||пос. Ивановка |Старобельская улица|
|Старогородська вулиця|190061657,190064411,334114414|||Старогородська вулиця
Стаханівська вулиця|||пос. Красноторка |Стахановская улица|
|Стахановська вулиця|654310832|||Стахановская улица
Степовий провулок|||пос. Беленькое |Степной переулок|
Степовий провулок|||пос. Красноторка |Степной переулок|
Стратосферна вулиця|||пос. Веселый |Стратосферная улица|
Стрельникова вулиця|||с. Приволье |Стрельникова улица|
|Студентська вулиця|190055911|||Студенческая улица
Суворова вулиця|||пос. Красногорка |Суворова улица|
Сурикова вулиця|||пос. Красноторка |Сурикова улица|
|Суркова вулиця|654555980|||Суркова улица
Тагільська вулиця|||пос. Прокатчиков |Тагильская улица|
Таймира провулок|||пос. Октябрьский |Таймыра переулок|
|Таймиру провулок|190055906|||Таймыра переулок
Тверська вулиця|||пос. Октябрьский |Тверская улица|
Теплична вулиця|||ЦУ с-за Ясногоровский |Тепличная улица|
Терновий провулок|||пос. Шабельковка |Терновый переулок|
Тернопільська вулиця|||пос. Ясная Поляна |Тернопольская улица|
Тираспільський провулок|||пос. Ясная Поляна |Тираспольский переулок|
Тихий провулок|||пос. Октябрьский |Тихий переулок|
Тихий провулок|||пос. Шабельковка |Тихий переулок|
Тичини вулиця|||пос. Шабельковка |Тычины улица|
Тополина вулиця|||пос.Шабельковка |Тополиная улица|
Тополиний провулок|||пос. Беленькое |Тополиный переулок|
Трактористів вулиця|||пос. Шабельковка |Трактористов улица|
|Тріумфальна вулиця|335737607|||Триумфальная улица
Трудовий провулок|||пос. Ивановка |Трудовой переулок|
Тупиковий провулок|||пос. СтараяПетровка |Тупиковый переулок|
Тюменський провулок|||пос. Малотарановка |Тюменский переулок|
Уборевича вулиця|||Ц-У с-за Ясногоровский |Уборевича улица|
Ударників вулиця|||пос.Ивановка |Ударников улица|
Український провулок|||пос. Новый Свет |Украинский переулок|
|Ульяновская улица|200896132|||Ульяновская улица
|Ульяновська вулиця|342541517|||Ульяновская улица
Уральська вулиця|||Соцгород |Уральская улица|
|Ферганская улица|418490661|||Ферганская улица
Філатова вулиця|||пос. Марьевка |Филатова улица|
Цимлянський провулок|||пос. Беленькое |Цимлянский переулок|
Ціолковского вулиця|||пос. Октябрьский |Циолковского улица|
Чайкіної вулиця|||пос. Партизанский |Чайкиной улица|
Червона вулиця|||пос. Малотарновка |Красная улица|
Червона зоря вулиця|||пос. Октябрьский |Красная заря улица|
Червона пушка вулиця|||пос. Октябрьский |Красная пушка улица|
|Червона Рута вулиця|242921402|||Красная Рута улица
Червона скала вулиця|||пос. Октябрьский |Красная скала улица|
Червоний провулок|||пос. Малотарановка |Красный переулок|
Червоних Партизанів вулиця|||пос. Партизанский |Красных Партизан улица|
Червоної Кінноти вулиця|||пос. Партизанский |Красной Конницы улица|
Черняховського вулиця|||пос. Октябрьский |Черняховского улица|
Чехова вулиця|||пос. Старая Петровка |Чехова улица|
Чубаря вулиця|||пос. Малотарановка |Чубаря улица|
|Чубинського вулиця|168972555|||Чубинского улица
Чуваська вулиця|||пос. Малотарановка |Чувашская улица|
Чукотська вулиця|||пос. Беленькое |Чукотская улица|
|Чукотський провулок|654767769|||Чукотский переулок
Чумацький шлях вулиця|||пос. Шабельковка|Чумацкий шлях улица|
Чучупалова вулиця|||пос.Малотарановка |Чучупалова улица|
|Шабельникова улица|336723682|||Шабельникова улица
|Шадринська вулиця|409769986|||Шадринская улица
Шаумяна вулиця|||пос. Октябрьский |Шаумяна улица|
Шахтарська вулиця|||с-зВеселый |Шахтерская улица|
|Шекспіра вулиця|120656371|||Шекспіра вулиця
Широка вулиця|||пос. Беленькое |Широкая улица|
Ширшова вулиця|||пос. Городещино |Ширшова улица|
Шиферна вулиця|||пос. Октябрьский |Шиферная улица|
Шкадінова вулиця|||Соцгород |Шкадинова улица|
Шкуріна вулиця|||пос. Городещино |Шкурина улица|
Шлакова вулиця|||пос. Старая Петровка |Шлаковая улица|
Шури Назаренка вулиця|||пос. Октябрьский |Шуры Назаренко улица|
Щорса вулиця|||пос. Новый Свет |Щорса улица|
Юних Комунарів вулиця|||пос. Малотарановка |Юных Коммунаров улица|
Юних Ленінців вулиця|||пос. Октябрьский |Юных Ленинцев улица|
|Юрія Дрогобича вулиця|190055902|||Юрия Дрогобыча улица
Ялтинська вулиця|||пос. Октябрьский |Ялтинская улица|
|Ярослава Мудрого вулиця|91005713|||Ярослава Мудрого улица
Ярославська вулиця|||пос. Октябрьский |Ярославская улица|
Ясногорівська вулиця|||пос.Ясная Поляна |Ясногоровская улица|
