1205813|1|2|2|80217630
2217474|1|3|3|74013857
2217475|1|3|3|74013857
2273365|1|2|2|170980040
2374862|1|1|1|
2533570|0|1|1|
2533571|0|1|1|
2533572|0|1|1|
2533573|0|1|1|
2533578|0|2|2|
2533579|0|1|1|
2792722|1|2|1|
3020737|1|2|1|
3020796|1|2|1|
3044882|1|0|0|
3044883|1|0|0|
3077812|1|1|1|229536515
3136439|1|0|0|
3170407|1|2|1|
3170424|1|2|1|
3256250|1|4|4|
3266012|1|0|0|
3567919|1|2|2|91789078
3643629|2|4|4|23697347
3643630|2|4|4|23697334
3885921|1|2|2|288603625
3885922|1|2|2|288603625
3918172|1|0|0|
3918173|1|0|0|
3918369|1|2|1|
3918371|1|2|1|
3918397|1|2|1|
3918399|1|2|1|
3920599|1|2|2|154110338
3922926|1|2|1|
3922936|1|2|2|160752649
3968865|1|2|1|
3968867|1|2|1|
4040676|1|2|1|
4040677|1|2|1|
4040678|1|2|1|
4040679|1|2|1|
4040681|1|2|1|
4040682|1|2|1|
4046842|1|2|1|
4046843|1|2|1|
4047594|1|1|1|
4047595|1|1|1|
4049563|1|1|1|
4049564|1|2|2|303917807
4058705|1|2|2|304508072
4058707|1|2|1|
4058708|1|2|1|
4073057|1|0|0|
