282644|131475378|437511383
300207|41444503|3289017800
300208|41444503|3289017800
302017|41444425|506877142
308469|41444425|506877142
308469|48966582|506877155
570379|120861112|1354123869
576028|33887984|388275008
576118|33887984|388275008
901209|120861112|1354123869
905814|33887984|388275008
1928655|132203262|1126459834
1929499|132203262|1126459834
1929499|303511714|3078769521
1937075|132203262|1126459834
2080999|119562599|1343059421
2081321|77353674|910535496
2084298|77353674|910535496
2139731|33775271|386663787
2169221|175756332|1739511959
2332875|33887984|388275008
2347173|148319545|355013512
2390868|33775271|386663787
2428019|182891935|340171751
2435162|182891935|340171751
2465350|334019179|3411008393
2635459|234516222|2427615419
2667956|198656338|1895317813
2667957|109067059|1249702268
2667957|272764430|2501968502
2667958|272764430|2501968502
2677554|29012502|277672683
2680251|29012502|277672683
2680251|338860357|3460163051
2782549|201449880|2114347428
2847509|29012502|277672683
2847509|56250359|705929802
2847509|338859891|3460157112
2847509|338860357|3460163051
2896557|337177379|3442757000
2896774|201449880|2114347428
3139731|201449880|2114347428
3220826|337177379|3442757000
3255843|22747976|244083045
3299076|154228316|1667893876
3299440|154228316|1667893876
3414930|363654854|3679091918
3591387|363654854|3679091918
3718071|337177379|3442757000
3723110|201449880|2114347428
3723111|337177379|3442757000
