Nodes:
|Большая Луговая улица|Велика Лугова вулиця|4002404459,4002404983,4002405754,4002407271,4002408371,4002409644,4002411378,4002411886,4002412772,4002413332,4002413647,4002414309,4002415416,4002416100,4002416466,4002417303,4002417844,4002418254,4002419269,4002419773,4002420175,4002420769,4002422222,4002423140,4002428388,4002431781,4002435662,4002439755,4002441126,4002441914|99223115
|Борисенка вулиця|Громадська вулиця|3827293866|42074984
|Бочарова|Бочарова вулиця|3986267166,3986269858,3986302202,3986306904|31960368,32592824
|Будённого улица|Будьонного вулиця|4002404461,4002404986,4002405756,4002407274,4002408373,4002409646,4002411380,4002411888,4002412774,4002413333,4002413650,4002414312,4002415418,4002416102,4002416467,4002417305,4002417846,4002418256,4002419271,4002419761,4002419775,4002420177,4002422225,4002423141,4002428490,4002431784,4002435664,4002439758,4002441129,4002441917|171030389,171030390
|Бузкова улица|Сиреневая улица|1026535793,1026535795|36781564
|Бурденко|Бурденка вулиця|2807977115|29124636,29124659
|Быкова улица|Бикова вулиця|3881776409|37561248
|Валова|Валова вулиця|3880341199|39675336,39764008,161701599,348362922
|Варганова вулиця|Соборна вулиця|2920133403|103425813,142188471
|Васильковская улица|Васильківська вулиця|4002404989,4002404990,4002405759,4002407277,4002407278,4002408375,4002409648,4002409649,4002411990,4002413335,4002413336,4002413653,4002414315,4002414316,4002415420,4002416104,4002416469,4002416470,4002417307,4002417848,4002418258,4002419777,4002420179,4002420772,4002422228,4002423144,4002423325,4002423999,4002424158,4002424709,4002424858,4002425910,4002426556,4002427791,4002428119,4002428493,4002429512,4002430042,4002430457,4002430870,4002431557,4002432879,4002435667,4002435668,4002441132,4002441133,4002441919|99209202,168410874
|Васильковский переулок|Васильківський провулок|4002404465,4002404992,4002407280,4002409651,4002411992,4002414318,4002422230,4002428495,4002431788,4002435670,4002439761,4002441135|168413716
