uk:
Артема|Артёма|265|23892371,24535771,24563404,24563417,24756401,25776625,25776704,26572154,27547008,30383274,33592592,34305169,34320471,34321100,41248532,47053654,49482290,49895583,49895594,49895596,53558757,53558759,54490406,54828334,60197447,60820785,60844980,60857931,60892529,60980242,61684218,79817060,80279781,80279817,80279819,83923251,86635484,86635743,86635744,91624911,93953117,93953129,96989068,98478018,100783995,102271377,110298004,111415374,111835843,112478398,113924660,113971522,114689492,114946880,116610518,117503189,117806215,118214336,119438134,123444827,123444835,125541691,125541693,126136148,127576741,127602126,129367604,131109299,131109317,131584140,135271007,135271037,135409171,135418711,135418717,136037596,137572042,138468427,139099824,139421330,139868831,141410263,142907450,142907491,142957890,143234568,143234571,145228816,147117224,148242115,148600868,150408206,151332268,151332269,151341226,152261434,152435386,154234839,154254619,157062505,161548678,161808590,164477824,166199242,169073631,169363864,173527626,174633917,174633921,174817658,175277704,175278030,182031266,184750179,185704729,187680306,187837727,187837735,187837755,190062859,192420272,192722692,193631156,193678995,193679041,195421264,195433519,197514751,197514752,197514753,197514755,199347878,199746730,199746733,201768110,203866041,203866042,208462432,216803899,216803902,216803905,218916526,219074241,219443930,219956933,221258337,221818475,224000850,225110421,227750988,228049574,228054173,228111137,228111138,229384304,231750377,231750382,232208367,232208368,232208369,232209668,232358427,232358428,232358429,232358430,232358431,232358432,232358433,238959603,238959604,238959605,238959606,239860283,239860284,245034997,250767057,254975147,255387480,256219183,256839467,261380755,261806293,261806295,261806937,264610059,265102279,265102285,266706409,266709300,270891487,274328162,277548512,278071572,279614186,279935233,285946974,285946976,289880330,293880761,293880762,293880763,293952982,293952983,297335979,298754883,299672129,303581902,304314055,304386673,304386704,306620312,307500115,307500116,307694779,307850947,311072299,311072394,315422971,317864983,319314546,326764183,330453895,333576956,333649545,333922396,334151867,335265846,335265847,335265848,335540951,335907471,336373747,336603444,336603445,336603446,336603447,336925961,336932667,337111086,343506388,343506390,343506391,352100089,354925798,360985048,364685041,364691815,365893132,365893141,366998752,366998758,368287978,368287979,368287980,368287981,368287982,368287983,368287984,368287985,371176393,379879460,384630007,397821427,399312828,399435854
Артема|Бахмутская|1|135289283
Бажана|Бажана|10|38938375,38938378,96562260,186637122,186637127,269493582,269773020,300804868,305340012,404801508
Бажана|Желанная|2|112682964,136438191
Байкова|Байкова|2|124877318,332525800
Байкова|Байковая|12|23072600,27838163,66363765,69991438,69991440,74353326,74353327,74384425,102320797,113291699,113804410,130206842
Балаклійський|Балаклеевский|1|38197675
Балаклійський|Балаклейский|1|38197127
Балашівська|Балашовская|9|37965496,131860045,134690294,134690295,148133812,162065646,162065647,290746834,329104244
Балашівська|Подсолнуховая|2|131860045,134690294
Бархатової|Бархатовой|1|91518587
Бархатової|В.С.Бархатовой|1|91518614
Басейна|Басейная|2|100780393,398309696
Басейна|Бассейная|27|23561555,23561556,23561559,23567113,37305035,37913538,39189216,39256698,55980525,81047017,87900926,90075210,91978031,91978038,108310631,108311919,108312136,108314543,130283282,137722103,142763474,186939649,261078189,261112792,301528019,319009509,323694112
Березова|Березовая|1|102139560
Березова|Берёзовая|35|31128873,31526977,46099482,46741054,82715607,105953011,105953024,106777036,114235717,121087051,132693316,133243103,136095302,136161366,137379178,142611598,145159615,150840850,154140035,158459165,164501917,169013873,180545102,193666307,204278346,225503793,226972482,230531501,234982958,236759653,257683768,260133293,290511981,322202183,368450900
Березовий|Березовый|1|398143714
Березовий|Берёзовый|8|110242860,115448686,122990579,145684142,170062551,224898258,275504421,280738682
